ob_code,disturbance_type,disturbance_comment,disturbance_intensity,disturbance_age,disturbance_extent
SRI-0200,Competition from exotics,NA,Low,NA,NA
SRI-0201,Competition from exotics,NA,Low,NA,NA
SRI-0201,Erosion/runoff,NA,High,NA,NA
SRI-0202,Competition from exotics,NA,Low,NA,NA
SRI-0203,Competition from exotics,NA,Low,NA,NA
SRI-0205,Competition from exotics,NA,Low,NA,NA
SRI-0205,Erosion/runoff,NA,High,NA,NA
SRI0206A,Competition from exotics,NA,Low,NA,NA
SRI0206A,Erosion/runoff,NA,High,NA,NA
SRI0207A,Competition from exotics,NA,Low,NA,NA
SRI-0208,Competition from exotics,NA,High,NA,NA
SRI-0208,Erosion/runoff,NA,Low,NA,NA
SRI0209A,Competition from exotics,NA,Low,NA,NA
SRI-0210,Competition from exotics,NA,Moderate,NA,NA
SRI0211A,Competition from exotics,NA,Moderate,NA,NA
