AssociationCaCode,ScientificName,Provisional,ClassifLevel,DateAddedToMCV
32.080.04,Lupinus arboreus / Anthoxanthum odoratum,,Association,
32.080.05,Lupinus arboreus / Scrophularia californica,,Association,
32.080.06,Baccharis pilularis – Lupinus arboreus / Ammophila arenaria,Provisional,Association,25-Feb-21
32.081.01,Lupinus albifrons,,Association,
32.081.02,Lupinus albifrons coastal,,Association,
32.081.03,Lupinus albifrons – Senecio flaccidus var. douglasii,,Association,
32.082.01,"Diplacus (aurantiacus, puniceus)",,Association,
32.082.02,Diplacus parviflorus,Provisional,Association,14-Dec-16
32.090.01,Salvia leucophylla – Artemisia californica,,Association,
32.090.02,Salvia leucophylla – Malosma laurina,,Association,
32.090.03,Salvia leucophylla,,Association,
32.090.04,Artemisia californica – Salvia leucophylla – Eriogonum cinereum / Nassella spp.,,Association,
32.090.05,Salvia leucophylla – Eriogonum cinereum / annual herb,,Association,
32.100.01,Eriogonum fasciculatum – Salvia apiana,,Association,
32.100.02,Salvia apiana – Artemisia californica – Ericameria spp.,,Association,20-Dec-18
32.110.01,Artemisia californica – Eriogonum fasciculatum – Rhus ovata,,Association,
32.110.02,Artemisia californica – Eriogonum fasciculatum – Salvia apiana,,Association,
32.110.03,(Artemisia californica) – Eriogonum fasciculatum – Salvia leucophylla,,Association,
32.110.04,Artemisia californica – Eriogonum fasciculatum – Salvia mellifera,,Association,
32.110.05,Artemisia californica – Eriogonum fasciculatum,,Association,
32.110.06,Artemisia californica – Eriogonum fasciculatum – Malosma laurina,,Association,
32.110.07,Artemisia californica – Eriogonum fasciculatum – Ephedra californica,,Association,
32.110.08,Artemisia californica – Eriogonum fasciculatum – Opuntia littoralis / Dudleya (edulis),,Association,01-Jul-16
32.110.09,Artemisia californica – Eriogonum fasciculatum – Viguiera laciniata,,Association,07-Nov-16
32.120.01,Salvia mellifera – Artemisia californica,,Association,
32.120.03,Artemisia californica – Salvia mellifera – Baccharis sarothroides,,Association,
32.150.01,Opuntia littoralis – Eriogonum fasciculatum – Malosma laurina,,Association,
32.150.02,Opuntia littoralis,,Association,
32.150.03,Cylindropuntia prolifera – Mixed Coastal Scrub,Provisional,Association,04-Jan-17
32.150.04,Opuntia oricola,Provisional,Association,09-Apr-18
32.160.01,Ericameria ericoides,,Association,
32.160.02,Lupinus chamissonis,,Association,
32.160.03,Lupinus chamissonis – Ericameria ericoides,,Association,
32.160.04,Ericameria ericoides – Artemisia californica,Provisional,Association,14-Oct-25
32.180.01,Genista monspessulana,,Semi-natural Association,
32.180.02,Spartium junceum,,Semi-natural Association,
32.180.03,Ulex europaeus,Provisional,Semi-natural Association,11-Feb-20
32.180.04,Cytisus scoparius,Provisional,Semi-natural Association,18-Feb-20
32.180.05,"Cotoneaster (lacteus, pannosus)",Provisional,Semi-natural Association,01-Oct-20
32.180.06,Hypericum canariense,Provisional,Semi-natural Association,03-Mar-21
32.220.01,"Acacia (cyclops, dealbata)",,Semi-natural Association,26-Feb-21
32.230.01,Eriogonum elongatum,,Association,07-Sep-16
32.230.02,Eriogonum nudum,,Association,07-Sep-16
32.230.03,Eriogonum nudum var. indictum – Eriogonum vestitum,,Association,07-Sep-16
32.230.04,Calystegia macrostegia – Eucrypta chrysanthemifolia,,Association,28-Jan-19
32.230.05,Lupinus excubitus – Mentzelia albicaulis – Eriogonum spp.,,Association,19-Mar-19
32.230.06,Viola pedunculata – (Eschscholzia californica – Nassella pulchra),Provisional,Association,17-Aug-22
32.230.07,Chorizanthe pungens – Eriogonum nudum var. decurrens – Heterotheca sessiliflora,,Association,18-Aug-22
32.230.08,Grindelia camporum – Annual Grass – Forb,Provisional,Association,15-Feb-24
32.230.09,Chlorogalum pomeridianum – (Triteleia laxa – Perideridia kelloggii),Provisional,Association,05-Mar-24
32.230.10,Heterotheca sessiliflora Upland,Provisional,Association,02-May-24
32.230.11,Eriastrum densifolium – Penstemon centranthifolius,Provisional,Association,16-Oct-25
32.240.01,Corethrogyne filaginifolia,,Association,13-Oct-16
